id,name
157,hoverboarding
158,hugging
159,hula hooping
160,hurdling
161,hurling (sport)
162,ice climbing
163,ice fishing
164,ice skating
165,ironing
166,javelin throw
167,jetskiing
168,jogging
169,juggling balls
170,juggling fire
171,juggling soccer ball
172,jumping into pool
173,jumpstyle dancing
174,kicking field goal
175,kicking soccer ball
176,kissing
177,kitesurfing
178,knitting
179,krumping
180,laughing
181,laying bricks
182,long jump
183,lunge
184,making a cake
185,making a sandwich
186,making bed
187,making jewelry
188,making pizza
189,making snowman
190,making sushi
191,making tea
192,marching
193,massaging back
194,massaging feet
195,massaging legs
196,massaging person's head
197,milking cow
198,mopping floor
199,motorcycling
200,moving furniture
201,mowing lawn
202,news anchoring
203,opening bottle
204,opening present
205,paragliding
206,parasailing
207,parkour
208,passing American football (in game)
209,passing American football (not in game)
210,peeling apples
211,peeling potatoes
212,petting animal (not cat)
213,petting cat
214,picking fruit
215,planting trees
216,plastering
217,playing accordion
218,playing badminton
219,playing bagpipes
220,playing basketball
221,playing bass guitar
222,playing cards
223,playing cello
224,playing chess
225,playing clarinet
226,playing controller
227,playing cricket
228,playing cymbals
229,playing didgeridoo
230,playing drums
231,playing flute
232,playing guitar
233,playing harmonica
234,playing harp
235,playing ice hockey
236,playing keyboard
237,playing kickball
238,playing monopoly
239,playing organ
240,playing paintball
241,playing piano
242,playing poker
243,playing recorder
244,playing saxophone
245,playing squash or racquetball
246,playing tennis
247,playing trombone
248,playing trumpet
249,playing ukulele
250,playing violin
251,playing volleyball
252,playing xylophone
253,pole vault
254,presenting weather forecast
255,pull ups
256,pumping fist
257,pumping gas
258,punching bag
259,punching person (boxing)
260,push up
261,pushing car
262,pushing cart
263,pushing wheelchair
264,reading book
265,reading newspaper
266,recording music
267,riding a bike
268,riding camel
269,riding elephant
270,riding mechanical bull
271,riding mountain bike
272,riding mule
273,riding or walking with horse
274,riding scooter
275,riding unicycle
276,ripping paper
277,robot dancing
278,rock climbing
279,rock scissors paper
280,roller skating
281,running on treadmill
282,sailing
283,salsa dancing
284,sanding floor
285,scrambling eggs
286,scuba diving
287,setting table
288,shaking hands
289,shaking head
290,sharpening knives
291,sharpening pencil
292,shaving head
293,shaving legs
294,shearing sheep
295,shining shoes
296,shooting basketball
297,shooting goal (soccer)
298,shot put
299,shoveling snow
300,shredding paper
301,shuffling cards
302,side kick
303,sign language interpreting
304,singing
305,situp
306,skateboarding
307,ski jumping
308,skiing (not slalom or crosscountry)
309,skiing crosscountry
310,skiing slalom
311,skipping rope
312,skydiving
313,slacklining
314,slapping
315,sled dog racing
316,smoking
317,smoking hookah
318,snatch weight lifting
319,sneezing
320,sniffing
321,snorkeling
322,snowboarding
323,snowkiting
324,snowmobiling
325,somersaulting
326,spinning poi
327,spray painting
328,spraying
329,springboard diving
330,squat
331,sticking tongue out
332,stomping grapes
333,stretching arm
334,stretching leg
335,strumming guitar
336,surfing crowd
337,surfing water
338,sweeping floor
339,swimming backstroke
340,swimming breast stroke
341,swimming butterfly stroke
342,swing dancing
343,swinging legs
344,swinging on something
345,sword fighting
346,tai chi
347,taking a shower
348,tango dancing
349,tap dancing
350,tapping guitar
351,tapping pen
352,tasting beer
353,tasting food
354,testifying
355,texting
356,throwing axe
357,throwing ball
358,throwing discus
359,tickling
360,tobogganing
361,tossing coin
362,tossing salad
363,training dog
364,trapezing
365,trimming or shaving beard
366,trimming trees
367,triple jump
368,tying bow tie
369,tying knot (not on a tie)
370,tying tie
371,unboxing
372,unloading truck
373,using computer
374,using remote controller (not gaming)
375,using segway
376,vault
377,waiting in line
378,walking the dog
379,washing dishes
380,washing feet
381,washing hair
382,washing hands
383,water skiing
384,water sliding
385,watering plants
386,waxing back
387,waxing chest
388,waxing eyebrows
389,waxing legs
390,weaving basket
391,welding
392,whistling
393,windsurfing
394,wrapping present
395,wrestling
396,writing
397,yawning
398,yoga
399,zumba
400,drink water
401,eat meal
402,brush teeth
403,brush hair
404,drop
405,pick up
406,throw
407,sit down
408,stand up
409,clappingg
410,reading
411,writingg
412,tear up paper
413,put on jacket
414,take off jacket
415,put on a shoe
416,take off a shoe
417,put on glasses
418,take off glasses
419,put on a hat/cap
420,take off a hat/cap
421,cheer up
422,hand waving
423,kicking something
424,reach into pocket
425,hopping
426,jump up
427,phone call
428,play with phone/tablet
429,type on a keyboard
430,point to something
431,taking a selfie
432,check time (from watch)
433,rub two hands
434,nod head/bow
435,shake head
436,wipe face
437,salute
438,put palms together
439,cross hands in front
440,put on headphone
441,take off headphone
442,shoot at basket
443,bounce ball
444,tennis bat swing
445,juggle table tennis ball
446,hush
447,flick hair
448,thumb up
449,thumb down
450,make OK sign
451,make victory sign
452,staple book
453,counting money
454,cutting nailss
455,cutting paper
456,snap fingers
457,open bottle
458,sniff/smell
459,squat down
460,toss a coin
461,fold paper
462,ball up paper
463,lay magic cube
464,apply cream on face
465,apply cream on hand
466,put on bag
467,take off bag
468,put object into bag
469,take object out of bag
470,open a box
471,move heavy objects
472,shake fist
473,throw up cap/hat
474,capitulate
475,cross arms
476,arm circles
477,arm swings
478,run on the spot
479,butt kicks
480,cross toe touch
481,side kickk
482,sneeze/cough
483,staggering
484,falling down
485,headache
486,chest pain
487,back pain
488,neck pain
489,nausea/vomiting
490,fan self
491,yawn
492,stretch oneself
493,blow nose
494,punch/slap
495,kicking
496,pushing
497,pat on back
498,point finger
499,huggingg
500,giving object
501,touch pocket
502,shaking handss
503,walking towards
504, walking apart
505,hit with object
506,wield knife
507,knock over
508,grab stuff
509,shoot with gun
510,step on foot
511,high-five
512,cheers and drink
513,carry object
514,take a photo
515,follow
516,whisper
517,exchange things
518,support somebody
519,rock-paper-scissors
